workload,task_id,TI_NNLS,TI_GM,SI_NNLS,SI_GM
w4,47,0.12070101796725063,0.0,0.4149150261069233,0.5183979263223287
w4,4,0.00011880999904945178,0.0,1.0,1.0
w4,17,0.0,0.0,0.8333333333333334,0.8333333333333334
w4,37,0.05990531870479299,0.0,0.8181818181818181,0.8384433962264152
w4,40,0.08575876817793027,0.0,0.6399999999999998,0.6670807453416149
w4,49,0.14952784198140034,0.0,0.8958898584349936,0.914800151723484
w4,8,0.004367701378851452,0.0,1.0,1.0
w4,13,0.2740581324619119,0.0,1.0,1.0
w4,28,0.4126615677457651,0.0,0.5323048308984161,0.3695921723862072
w4,30,0.0,0.0,0.9999999999999991,1.0
w4,33,0.0,0.0,0.9583333333333336,0.9583333333333334
w4,34,0.0,0.0,0.7773335260322934,1.0
w4,9,0.0,0.0,0.38550887197781514,0.6382978723404256
w4,14,0.0,0.0,0.37805791498772895,0.6419354838709677
w4,19,0.0003069249952041275,0.0,1.0,1.0
w4,23,0.0034591880664442964,0.0,1.0,1.0
w4,26,0.31407091058201975,0.0,0.9546480114989749,0.9008653122648608
w4,39,0.45154297484105,0.0,1.0,1.0
w4,41,0.1306362164298569,0.0,1.0,1.0
w4,42,0.1595804249501731,,1.0,
w4,43,0.4545454545454545,0.0,0.5371782200239118,0.7432588345631824
w4,24,0.0,0.0,1.0,1.0
w4,44,0.47425938461992534,0.0,1.0,1.0
w4,3,0.00022166805209200557,0.0,1.0,1.0
w4,15,1.8689213334033283e-05,0.0,1.0,1.0
w4,16,0.6875,0.0,1.0,1.0
w4,22,0.0,,0.8846598111898526,
w4,35,0.0,0.0,1.0,1.0
w4,45,0.1590934212941465,0.0,1.0,1.0
w4,1,0.593925857217982,0.0,1.0,1.0
w4,6,0.6912945066995444,,1.0,
w4,11,0.0,,1.0,
w4,12,0.25663242311304957,0.0,1.0,1.0
w4,18,0.6251659793195952,,1.0,
w4,25,0.0,,1.0,
w4,27,0.0,,1.0,
w4,31,0.592575030551609,,1.0,
w4,20,0.2920669743568406,0.0,1.0,1.0
w4,48,0.008333333333336412,0.0,1.0,1.0
w5,7,0.5,0.0,0.3105359551282163,0.338327721661055
w5,34,0.0030893497557730187,0.0,1.0,1.0
w5,37,9.784352862907131e-05,0.0,1.0,1.0
w5,39,0.49448158914503915,0.0,0.7204809774561005,0.8642857142857142
w5,0,7.231912985627975e-05,0.0,0.4814814814814815,0.48148148148148145
w5,10,0.004493988214048117,0.0,1.0,1.0
w5,35,0.0,0.0,0.4419642857142857,0.4419642857142857
w5,41,0.0,0.0,0.5044642857142857,0.5044642857142857
w5,48,0.0444444444444444,0.0,0.5401785714285714,0.5389880952380952
w5,6,0.6163160441991017,0.0,0.45957522868413364,0.4470523782924419
w5,20,1.1102230246251565e-16,0.0,0.5372670807453416,0.5372670807453416
w5,21,2.8192203164301155e-05,0.0,1.0,1.0
w5,27,2.0040240803487208e-05,0.0,1.0,1.0
w5,1,0.016299817946524575,0.0,1.0,1.0
w5,11,0.5,0.0,0.5425794742706163,0.5943317004898531
w5,17,0.01970178417112134,0.0,1.0,1.0
w5,22,0.0,0.0,0.3394092838636744,0.6862045778176257
w5,28,0.6928666257584533,0.0,0.34841792583538345,0.7693036795229342
w5,30,0.22407228240124855,0.0,1.0,1.0
w5,44,0.5563292817103956,,1.0,
w5,45,0.15582075319720767,,1.0,
w5,47,0.052096013365341864,0.0,0.609872349643099,0.7890577332259475
w5,8,0.11009639540025562,0.0,1.0,1.0
w5,19,0.0,0.0,0.5046227934934483,0.546712802768166
w5,38,0.4545454545454546,0.0,0.655779119099293,1.0
w5,42,2.004024080359823e-05,0.0,1.0,1.0
w5,9,0.3952197781292226,0.0,1.0,1.0
w5,16,0.00015121272606299918,0.0,1.0,1.0
w5,23,0.0,0.0,1.0,1.0
w5,24,0.2045675468497633,0.0,1.0,1.0
w5,31,0.02161213657102601,0.0,1.0,1.0
w5,14,0.0,0.0,1.0,1.0
w5,18,0.20330560157915512,0.0,1.0,1.0
w5,25,0.00015121272606299918,0.0,1.0,1.0
w5,40,0.0,0.0,1.0,1.0
w5,43,0.07830988561300845,0.0,1.0,1.0
w5,2,0.0,0.0,1.0,1.0
w5,3,-2.220446049250313e-16,,1.0,
w5,4,0.47897231610518587,0.0,1.0,1.0
